Problem, Method, Param1, Param2, Param3, SolutionValue, Time
2, GA,200,10,0.01,751.0,10.0857520103
2, SA,750,0.85,1e-05,1299.0,0.602005004883
2, GA,200,10,0.05,958.0,10.1089911461
2, SA,750,0.85,0.001,1236.0,0.449789047241
2, GA,200,10,0.1,1074.0,10.1507890224
2, SA,750,0.85,0.1,1275.0,0.297171831131
2, GA,200,25,0.01,1305.0,11.3058178425
2, SA,750,0.9,1e-05,1322.0,0.91549706459
2, GA,200,25,0.05,1264.0,11.3213450909
2, SA,750,0.9,0.001,1254.0,0.684258937836
2, GA,200,25,0.1,1205.0,8.30578303337
2, SA,750,0.9,0.1,1256.0,0.424277067184
2, GA,200,50,0.01,1250.0,13.3301279545
2, SA,750,0.95,1e-05,1303.0,1.89911794662
2, GA,200,50,0.05,400.0,13.3612589836
2, SA,750,0.95,0.001,1349.0,1.39519691467
2, GA,200,50,0.1,1475.0,13.3792500496
2, SA,750,0.95,0.1,1243.0,0.919312953949
2, GA,200,100,0.01,917.0,17.340790987
2, SA,750,0.99,1e-05,1341.0,9.69049787521
2, GA,200,100,0.05,13.0,17.3730988503
2, SA,750,0.99,0.001,1326.0,7.17754101753
2, GA,200,100,0.1,1486.0,17.3968298435
2, SA,750,0.99,0.1,1356.0,4.76468491554
2, GA,500,10,0.01,1022.0,16.4944398403
2, SA,1000,0.85,1e-05,1226.0,0.611282110214
2, GA,500,10,0.05,1273.0,24.1551651955
2, SA,1000,0.85,0.001,1270.0,0.458745002747
2, GA,500,10,0.1,1261.0,24.2545919418
2, SA,1000,0.85,0.1,1193.0,0.30598282814
2, GA,500,25,0.01,1162.0,25.6509349346
2, SA,1000,0.9,1e-05,1257.0,0.94285607338
2, GA,500,25,0.05,1387.0,25.7309570312
2, SA,1000,0.9,0.001,1190.0,0.68607211113
2, GA,500,25,0.1,1257.0,26.0636210442
2, SA,1000,0.9,0.1,1183.0,0.484814167023
2, GA,500,50,0.01,1354.0,28.5955519676
2, SA,1000,0.95,1e-05,1338.0,1.93738508224
2, GA,500,50,0.05,1236.0,20.9496150017
2, SA,1000,0.95,0.001,1327.0,1.4326839447
2, GA,500,50,0.1,1610.0,28.4825339317
2, SA,1000,0.95,0.1,1299.0,0.97172498703
